#SAMPLE_ID	POPULATION_ID	SUPERPOPULATION_ID	GENDER
HGDP00124	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00125	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00127	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00129	Hazara	CENTRAL_SOUTH_ASIA	male
HGDP00130	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00131	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00133	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00134	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00135	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00136	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00137	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00139	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00140	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00141	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00143	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00144	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00145	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00146	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00148	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00149	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00150	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00151	Makrani	CENTRAL_SOUTH_ASIA	female
HGDP00153	Makrani	CENTRAL_SOUTH_ASIA	female
HGDP00154	Makrani	CENTRAL_SOUTH_ASIA	female
HGDP00155	Makrani	CENTRAL_SOUTH_ASIA	female
HGDP00157	Makrani	CENTRAL_SOUTH_ASIA	female
HGDP00158	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00160	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00161	Makrani	CENTRAL_SOUTH_ASIA	male
HGDP00163	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00165	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00167	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00169	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00171	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00173	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00175	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00177	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00179	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00181	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00183	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00185	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00187	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00189	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00191	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00192	Sindhi	CENTRAL_SOUTH_ASIA	female
HGDP00195	Sindhi	CENTRAL_SOUTH_ASIA	female
HGDP00197	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00199	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00201	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00205	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00206	Sindhi	CENTRAL_SOUTH_ASIA	female
HGDP00208	Sindhi	CENTRAL_SOUTH_ASIA	male
HGDP00210	Sindhi	CENTRAL_SOUTH_ASIA	female
HGDP00213	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00214	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00216	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00218	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00222	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00224	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00226	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00228	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00230	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00232	Pathan	CENTRAL_SOUTH_ASIA	female
HGDP00234	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00237	Pathan	CENTRAL_SOUTH_ASIA	female
HGDP00239	Pathan	CENTRAL_SOUTH_ASIA	female
HGDP00241	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00243	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00244	Pathan	CENTRAL_SOUTH_ASIA	female
HGDP00247	Pathan	CENTRAL_SOUTH_ASIA	female
HGDP00248	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00251	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00254	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00258	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00259	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00262	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00264	Pathan	CENTRAL_SOUTH_ASIA	male
HGDP00274	Kalash	CENTRAL_SOUTH_ASIA	female
HGDP00277	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00279	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00281	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00285	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00286	Kalash	CENTRAL_SOUTH_ASIA	female
HGDP00288	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00290	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00298	Kalash	CENTRAL_SOUTH_ASIA	female
HGDP00302	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00304	Kalash	CENTRAL_SOUTH_ASIA	female
HGDP00307	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00309	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00311	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00313	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00315	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00319	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00323	Kalash	CENTRAL_SOUTH_ASIA	female
HGDP00326	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00328	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00330	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00333	Kalash	CENTRAL_SOUTH_ASIA	male
HGDP00338	Burusho	CENTRAL_SOUTH_ASIA	female
HGDP00341	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00346	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00351	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00356	Burusho	CENTRAL_SOUTH_ASIA	female
HGDP00359	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00364	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00371	Burusho	CENTRAL_SOUTH_ASIA	female
HGDP00372	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00376	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00382	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00388	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00392	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00397	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00402	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00407	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00412	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00417	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00423	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00428	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00433	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00438	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00444	Burusho	CENTRAL_SOUTH_ASIA	female
HGDP00445	Burusho	CENTRAL_SOUTH_ASIA	male
HGDP00449	Mbuti	AFRICA	male
HGDP00450	Mbuti	AFRICA	male
HGDP00452	Biaka	AFRICA	male
HGDP00453	Biaka	AFRICA	male
HGDP00454	Biaka	AFRICA	male
HGDP00455	Biaka	AFRICA	male
HGDP00456	Mbuti	AFRICA	male
HGDP00457	Biaka	AFRICA	male
HGDP00458	Biaka	AFRICA	male
HGDP00459	Biaka	AFRICA	male
HGDP00460	Biaka	AFRICA	male
HGDP00461	Biaka	AFRICA	male
HGDP00462	Mbuti	AFRICA	male
HGDP00463	Mbuti	AFRICA	male
HGDP00464	Biaka	AFRICA	male
HGDP00466	Biaka	AFRICA	male
HGDP00467	Mbuti	AFRICA	male
HGDP00469	Biaka	AFRICA	male
HGDP00470	Biaka	AFRICA	male
HGDP00471	Mbuti	AFRICA	female
HGDP00472	Biaka	AFRICA	male
HGDP00473	Biaka	AFRICA	male
HGDP00474	Mbuti	AFRICA	male
HGDP00475	Biaka	AFRICA	male
HGDP00476	Mbuti	AFRICA	female
HGDP00478	Mbuti	AFRICA	male
HGDP00479	Biaka	AFRICA	male
HGDP00491	Bougainville	OCEANIA	male
HGDP00511	French	EUROPE	male
HGDP00512	French	EUROPE	male
HGDP00513	French	EUROPE	female
HGDP00514	French	EUROPE	female
HGDP00515	French	EUROPE	male
HGDP00516	French	EUROPE	female
HGDP00517	French	EUROPE	female
HGDP00518	French	EUROPE	male
HGDP00519	French	EUROPE	male
HGDP00520	French	EUROPE	female
HGDP00521	French	EUROPE	male
HGDP00522	French	EUROPE	male
HGDP00523	French	EUROPE	female
HGDP00524	French	EUROPE	female
HGDP00525	French	EUROPE	male
HGDP00526	French	EUROPE	female
HGDP00527	French	EUROPE	female
HGDP00528	French	EUROPE	male
HGDP00529	French	EUROPE	female
HGDP00530	French	EUROPE	male
HGDP00531	French	EUROPE	female
HGDP00533	French	EUROPE	male
HGDP00534	French	EUROPE	female
HGDP00535	French	EUROPE	female
HGDP00536	French	EUROPE	female
HGDP00537	French	EUROPE	female
HGDP00538	French	EUROPE	male
HGDP00539	French	EUROPE	female
HGDP00540	PapuanSepik	OCEANIA	male
HGDP00541	PapuanSepik	OCEANIA	male
HGDP00542	PapuanSepik	OCEANIA	male
HGDP00543	PapuanSepik	OCEANIA	male
HGDP00544	PapuanSepik	OCEANIA	female
HGDP00545	PapuanSepik	OCEANIA	male
HGDP00546	PapuanSepik	OCEANIA	male
HGDP00547	PapuanSepik	OCEANIA	male
HGDP00548	PapuanHighlands	OCEANIA	male
HGDP00549	PapuanHighlands	OCEANIA	male
HGDP00550	PapuanHighlands	OCEANIA	female
HGDP00551	PapuanHighlands	OCEANIA	male
HGDP00552	PapuanHighlands	OCEANIA	female
HGDP00553	PapuanHighlands	OCEANIA	male
HGDP00554	PapuanHighlands	OCEANIA	female
HGDP00555	PapuanHighlands	OCEANIA	male
HGDP00556	PapuanHighlands	OCEANIA	male
HGDP00557	Druze	MIDDLE_EAST	female
HGDP00558	Druze	MIDDLE_EAST	female
HGDP00559	Druze	MIDDLE_EAST	female
HGDP00560	Druze	MIDDLE_EAST	female
HGDP00561	Druze	MIDDLE_EAST	female
HGDP00562	Druze	MIDDLE_EAST	male
HGDP00563	Druze	MIDDLE_EAST	female
HGDP00564	Druze	MIDDLE_EAST	female
HGDP00565	Druze	MIDDLE_EAST	female
HGDP00566	Druze	MIDDLE_EAST	female
HGDP00567	Druze	MIDDLE_EAST	female
HGDP00568	Druze	MIDDLE_EAST	female
HGDP00569	Druze	MIDDLE_EAST	female
HGDP00571	Druze	MIDDLE_EAST	female
HGDP00572	Druze	MIDDLE_EAST	female
HGDP00573	Druze	MIDDLE_EAST	female
HGDP00574	Druze	MIDDLE_EAST	female
HGDP00575	Druze	MIDDLE_EAST	female
HGDP00576	Druze	MIDDLE_EAST	male
HGDP00577	Druze	MIDDLE_EAST	female
HGDP00578	Druze	MIDDLE_EAST	female
HGDP00579	Druze	MIDDLE_EAST	female
HGDP00580	Druze	MIDDLE_EAST	male
HGDP00581	Druze	MIDDLE_EAST	female
HGDP00582	Druze	MIDDLE_EAST	female
HGDP00583	Druze	MIDDLE_EAST	female
HGDP00584	Druze	MIDDLE_EAST	female
HGDP00586	Druze	MIDDLE_EAST	female
HGDP00587	Druze	MIDDLE_EAST	female
HGDP00588	Druze	MIDDLE_EAST	male
HGDP00590	Druze	MIDDLE_EAST	female
HGDP00591	Druze	MIDDLE_EAST	female
HGDP00594	Druze	MIDDLE_EAST	male
HGDP00595	Druze	MIDDLE_EAST	male
HGDP00597	Druze	MIDDLE_EAST	male
HGDP00598	Druze	MIDDLE_EAST	male
HGDP00599	Druze	MIDDLE_EAST	male
HGDP00600	Druze	MIDDLE_EAST	male
HGDP00601	Druze	MIDDLE_EAST	female
HGDP00602	Druze	MIDDLE_EAST	male
HGDP00604	Druze	MIDDLE_EAST	male
HGDP00606	Druze	MIDDLE_EAST	female
HGDP00607	Bedouin	MIDDLE_EAST	female
HGDP00608	Bedouin	MIDDLE_EAST	male
HGDP00609	Bedouin	MIDDLE_EAST	male
HGDP00610	Bedouin	MIDDLE_EAST	male
HGDP00611	Bedouin	MIDDLE_EAST	male
HGDP00612	Bedouin	MIDDLE_EAST	female
HGDP00613	Bedouin	MIDDLE_EAST	female
HGDP00614	Bedouin	MIDDLE_EAST	female
HGDP00615	Bedouin	MIDDLE_EAST	female
HGDP00616	Bedouin	MIDDLE_EAST	male
HGDP00618	Bedouin	MIDDLE_EAST	male
HGDP00619	Bedouin	MIDDLE_EAST	male
HGDP00620	Bedouin	MIDDLE_EAST	male
HGDP00621	Bedouin	MIDDLE_EAST	male
HGDP00622	Bedouin	MIDDLE_EAST	male
HGDP00623	Bedouin	MIDDLE_EAST	male
HGDP00624	Bedouin	MIDDLE_EAST	male
HGDP00625	Bedouin	MIDDLE_EAST	male
HGDP00626	Bedouin	MIDDLE_EAST	male
HGDP00627	Bedouin	MIDDLE_EAST	male
HGDP00628	Bedouin	MIDDLE_EAST	male
HGDP00629	Bedouin	MIDDLE_EAST	male
HGDP00630	Bedouin	MIDDLE_EAST	male
HGDP00631	Bedouin	MIDDLE_EAST	male
HGDP00632	Bedouin	MIDDLE_EAST	female
HGDP00634	Bedouin	MIDDLE_EAST	female
HGDP00635	Bedouin	MIDDLE_EAST	female
HGDP00636	Bedouin	MIDDLE_EAST	female
HGDP00637	Bedouin	MIDDLE_EAST	female
HGDP00638	Bedouin	MIDDLE_EAST	female
HGDP00639	Bedouin	MIDDLE_EAST	male
HGDP00640	Bedouin	MIDDLE_EAST	male
HGDP00641	Bedouin	MIDDLE_EAST	male
HGDP00642	Bedouin	MIDDLE_EAST	male
HGDP00643	Bedouin	MIDDLE_EAST	female
HGDP00644	Bedouin	MIDDLE_EAST	male
HGDP00645	Bedouin	MIDDLE_EAST	male
HGDP00646	Bedouin	MIDDLE_EAST	female
HGDP00647	Bedouin	MIDDLE_EAST	female
HGDP00648	Bedouin	MIDDLE_EAST	male
HGDP00649	Bedouin	MIDDLE_EAST	female
HGDP00650	Bedouin	MIDDLE_EAST	female
HGDP00651	Bedouin	MIDDLE_EAST	female
HGDP00653	Bedouin	MIDDLE_EAST	female
HGDP00654	Bedouin	MIDDLE_EAST	male
HGDP00655	Bougainville	OCEANIA	male
HGDP00656	Bougainville	OCEANIA	female
HGDP00660	Bougainville	OCEANIA	female
HGDP00661	Bougainville	OCEANIA	female
HGDP00662	Bougainville	OCEANIA	male
HGDP00663	Bougainville	OCEANIA	female
HGDP00664	Bougainville	OCEANIA	female
HGDP00665	Sardinian	EUROPE	male
HGDP00666	Sardinian	EUROPE	male
HGDP00667	Sardinian	EUROPE	female
HGDP00668	Sardinian	EUROPE	male
HGDP00669	Sardinian	EUROPE	female
HGDP00670	Sardinian	EUROPE	male
HGDP00671	Sardinian	EUROPE	male
HGDP00672	Sardinian	EUROPE	female
HGDP00673	Sardinian	EUROPE	female
HGDP00674	Sardinian	EUROPE	male
HGDP00675	Palestinian	MIDDLE_EAST	male
HGDP00676	Palestinian	MIDDLE_EAST	male
HGDP00677	Palestinian	MIDDLE_EAST	male
HGDP00678	Palestinian	MIDDLE_EAST	male
HGDP00679	Palestinian	MIDDLE_EAST	female
HGDP00680	Palestinian	MIDDLE_EAST	female
HGDP00682	Palestinian	MIDDLE_EAST	female
HGDP00683	Palestinian	MIDDLE_EAST	female
HGDP00684	Palestinian	MIDDLE_EAST	female
HGDP00685	Palestinian	MIDDLE_EAST	female
HGDP00686	Palestinian	MIDDLE_EAST	female
HGDP00687	Palestinian	MIDDLE_EAST	female
HGDP00688	Palestinian	MIDDLE_EAST	female
HGDP00689	Palestinian	MIDDLE_EAST	female
HGDP00690	Palestinian	MIDDLE_EAST	female
HGDP00691	Palestinian	MIDDLE_EAST	female
HGDP00692	Palestinian	MIDDLE_EAST	female
HGDP00693	Palestinian	MIDDLE_EAST	female
HGDP00694	Palestinian	MIDDLE_EAST	female
HGDP00696	Palestinian	MIDDLE_EAST	female
HGDP00697	Palestinian	MIDDLE_EAST	female
HGDP00698	Palestinian	MIDDLE_EAST	female
HGDP00699	Palestinian	MIDDLE_EAST	female
HGDP00700	Palestinian	MIDDLE_EAST	female
HGDP00701	Bedouin	MIDDLE_EAST	female
HGDP00702	Colombian	AMERICA	female
HGDP00703	Colombian	AMERICA	male
HGDP00704	Colombian	AMERICA	female
HGDP00706	Colombian	AMERICA	female
HGDP00708	Colombian	AMERICA	female
HGDP00710	Colombian	AMERICA	male
HGDP00711	Cambodian	EAST_ASIA	male
HGDP00712	Cambodian	EAST_ASIA	female
HGDP00713	Cambodian	EAST_ASIA	female
HGDP00714	Cambodian	EAST_ASIA	male
HGDP00715	Cambodian	EAST_ASIA	male
HGDP00716	Cambodian	EAST_ASIA	male
HGDP00717	Cambodian	EAST_ASIA	male
HGDP00719	Cambodian	EAST_ASIA	female
HGDP00721	Cambodian	EAST_ASIA	female
HGDP00722	Palestinian	MIDDLE_EAST	male
HGDP00723	Palestinian	MIDDLE_EAST	male
HGDP00724	Palestinian	MIDDLE_EAST	male
HGDP00725	Palestinian	MIDDLE_EAST	male
HGDP00726	Palestinian	MIDDLE_EAST	male
HGDP00727	Palestinian	MIDDLE_EAST	male
HGDP00729	Palestinian	MIDDLE_EAST	male
HGDP00730	Palestinian	MIDDLE_EAST	male
HGDP00731	Palestinian	MIDDLE_EAST	male
HGDP00732	Palestinian	MIDDLE_EAST	male
HGDP00733	Palestinian	MIDDLE_EAST	male
HGDP00734	Palestinian	MIDDLE_EAST	male
HGDP00735	Palestinian	MIDDLE_EAST	female
HGDP00736	Palestinian	MIDDLE_EAST	female
HGDP00737	Palestinian	MIDDLE_EAST	female
HGDP00738	Palestinian	MIDDLE_EAST	female
HGDP00739	Palestinian	MIDDLE_EAST	female
HGDP00740	Palestinian	MIDDLE_EAST	female
HGDP00741	Palestinian	MIDDLE_EAST	female
HGDP00744	Palestinian	MIDDLE_EAST	female
HGDP00745	Palestinian	MIDDLE_EAST	female
HGDP00746	Palestinian	MIDDLE_EAST	female
HGDP00747	Japanese	EAST_ASIA	male
HGDP00748	Japanese	EAST_ASIA	male
HGDP00749	Japanese	EAST_ASIA	male
HGDP00750	Japanese	EAST_ASIA	male
HGDP00751	Japanese	EAST_ASIA	male
HGDP00752	Japanese	EAST_ASIA	male
HGDP00753	Japanese	EAST_ASIA	male
HGDP00754	Japanese	EAST_ASIA	female
HGDP00755	Japanese	EAST_ASIA	male
HGDP00756	Japanese	EAST_ASIA	female
HGDP00757	Japanese	EAST_ASIA	male
HGDP00758	Japanese	EAST_ASIA	male
HGDP00759	Japanese	EAST_ASIA	male
HGDP00760	Japanese	EAST_ASIA	female
HGDP00761	Japanese	EAST_ASIA	female
HGDP00762	Japanese	EAST_ASIA	male
HGDP00764	Japanese	EAST_ASIA	male
HGDP00765	Japanese	EAST_ASIA	female
HGDP00766	Japanese	EAST_ASIA	male
HGDP00767	Japanese	EAST_ASIA	male
HGDP00769	Japanese	EAST_ASIA	male
HGDP00771	Japanese	EAST_ASIA	female
HGDP00772	Japanese	EAST_ASIA	female
HGDP00773	Japanese	EAST_ASIA	female
HGDP00774	Han	EAST_ASIA	male
HGDP00775	Han	EAST_ASIA	male
HGDP00776	Han	EAST_ASIA	female
HGDP00777	Han	EAST_ASIA	male
HGDP00778	Han	EAST_ASIA	male
HGDP00779	Han	EAST_ASIA	male
HGDP00780	Han	EAST_ASIA	male
HGDP00781	Han	EAST_ASIA	female
HGDP00782	Han	EAST_ASIA	male
HGDP00783	Han	EAST_ASIA	female
HGDP00784	Han	EAST_ASIA	female
HGDP00785	Han	EAST_ASIA	male
HGDP00786	Han	EAST_ASIA	male
HGDP00787	Bougainville	OCEANIA	female
HGDP00788	Bougainville	OCEANIA	male
HGDP00790	Japanese	EAST_ASIA	male
HGDP00791	Japanese	EAST_ASIA	male
HGDP00794	Orcadian	EUROPE	female
HGDP00795	Orcadian	EUROPE	male
HGDP00796	Orcadian	EUROPE	female
HGDP00797	Orcadian	EUROPE	female
HGDP00798	Orcadian	EUROPE	male
HGDP00799	Orcadian	EUROPE	female
HGDP00800	Orcadian	EUROPE	female
HGDP00802	Orcadian	EUROPE	female
HGDP00803	Orcadian	EUROPE	male
HGDP00804	Orcadian	EUROPE	male
HGDP00805	Orcadian	EUROPE	female
HGDP00806	Orcadian	EUROPE	female
HGDP00807	Orcadian	EUROPE	male
HGDP00808	Orcadian	EUROPE	male
HGDP00810	Orcadian	EUROPE	male
HGDP00811	Han	EAST_ASIA	female
HGDP00812	Han	EAST_ASIA	female
HGDP00813	Han	EAST_ASIA	female
HGDP00814	Han	EAST_ASIA	female
HGDP00815	Han	EAST_ASIA	male
HGDP00817	Han	EAST_ASIA	female
HGDP00818	Han	EAST_ASIA	female
HGDP00819	Han	EAST_ASIA	male
HGDP00820	Han	EAST_ASIA	female
HGDP00821	Han	EAST_ASIA	male
HGDP00822	Han	EAST_ASIA	male
HGDP00828	Japanese	EAST_ASIA	male
HGDP00832	Surui	AMERICA	female
HGDP00837	Surui	AMERICA	male
HGDP00838	Surui	AMERICA	female
HGDP00843	Surui	AMERICA	male
HGDP00845	Surui	AMERICA	male
HGDP00846	Surui	AMERICA	female
HGDP00849	Surui	AMERICA	male
HGDP00852	Surui	AMERICA	female
HGDP00854	Maya	AMERICA	female
HGDP00855	Maya	AMERICA	female
HGDP00856	Maya	AMERICA	male
HGDP00857	Maya	AMERICA	female
HGDP00858	Maya	AMERICA	female
HGDP00859	Maya	AMERICA	female
HGDP00860	Maya	AMERICA	female
HGDP00861	Maya	AMERICA	female
HGDP00862	Maya	AMERICA	female
HGDP00863	Maya	AMERICA	female
HGDP00864	Maya	AMERICA	female
HGDP00865	Maya	AMERICA	female
HGDP00868	Maya	AMERICA	female
HGDP00869	Maya	AMERICA	female
HGDP00870	Maya	AMERICA	female
HGDP00871	Maya	AMERICA	female
HGDP00872	Maya	AMERICA	female
HGDP00873	Maya	AMERICA	female
HGDP00875	Maya	AMERICA	female
HGDP00876	Maya	AMERICA	female
HGDP00877	Maya	AMERICA	male
HGDP00879	Russian	EUROPE	male
HGDP00880	Russian	EUROPE	male
HGDP00881	Russian	EUROPE	female
HGDP00882	Russian	EUROPE	male
HGDP00883	Russian	EUROPE	male
HGDP00884	Russian	EUROPE	female
HGDP00885	Russian	EUROPE	female
HGDP00886	Russian	EUROPE	male
HGDP00887	Russian	EUROPE	male
HGDP00888	Russian	EUROPE	male
HGDP00889	Russian	EUROPE	female
HGDP00890	Russian	EUROPE	male
HGDP00891	Russian	EUROPE	male
HGDP00892	Russian	EUROPE	male
HGDP00893	Russian	EUROPE	male
HGDP00894	Russian	EUROPE	male
