#NOME_FILE	DESCRIPTION	CREATED_BY	USED_IN	TO_DELETE
Params.txt	Contiene i parametri selezionati dall'utente nella pagina principale	crisprme_off.py	Vari (eg usato per sistemare layout in base al tipo di ricerca fatta (ref, var, both))	n
acfd.txt	Contiene gli score generali (CFD di tutta la guida e il Doench del ref e del var)	annotator_cal_sample	crisprme_off per la tabella generale dei risultati	n
JOB_ID.SampleClasses.txt	Per ogni sample e guida, indica a che classe appartiene il sample (0 0+ 1 1+)	annotator_cal_sample	crisprme_off per la tabella generale dei risultati	n
JOB_ID.samples.annotation.txt	Contiene top1 scomposti e top1 reference, con l'aggiunta delle annotazioni, pam creation etc	annotator_cal_sample	crisprme_off per mostrare all'utente i target quando seleziona 'show targets'	n
JOB_ID.Annotation.summary.txt	Per ogni guida, il file contiene il conteggio del numero di target trovati nel genoma ENRICHED che hanno una particolare annotazione. Il conteggio è diviso per 'total'	annotator_cal_sample	submit_job.final.sh con chiamata a crispritz generate-report per creare radarchart e barplot generali	y
JOB_ID.total.cluster.txt	File total clusterizzato e ordinato per cromosoma	cluster.dict.py	annotator_cal_sample input principale, ogni cluster viene filtrato tenendo il top1 scomposto e il top1 ref	y
JOB_ID.summary_by_position.GUIDE.txt	Contiene il conteggio del numero di target per ogni cluster (ovvero cromosoma-posizione)	summary_by_guide_position.py	crisprme_off per la tabella summary by position	n
JOB_ID.summary_by_guide.GUIDE.txt	Contiene il conteggio del numero di target trovato per ogni combinazione di Mismatch - Bulge Type - Bulge size	summary_by_guide.py	crisprme_off per la tabella summary by guide	n
JOB_ID.general_target_count.txt	Conteggio per la tabella generale principale	summary_by_guide	crisprme_off	n
JOB_ID.summary_by_samples.GUIDE.txt	Contiene il conteggio dei target trovati nel genoma ENR per ogni sample, oltre al conteggio di pam creation, e altre info sul sample	summary_by_samples.py	crisprme_off per la tabella summary by samples	n
summary_histogram_GUIDE_0mm.png	Barplot per ogni GUIDE e MM	submit_job.final.sh con chiamata a crispritz generate-report	crisprme_off nella sezione del 'Graphical report'	n
summary_single_guide_GUIDE_0mm.png	Radarchart generale per ogni GUIDE e MM	submit_job.final.sh con chiamata a crispritz generate-report	crisprme_off nella sezione del 'Graphical report'	n
populations_distribution_GUIDE_1total.png	Barplot delle popolazioni + reference per ogni GUDE e MM	populations_distribution.py dando in input il file JOB_ID.PopulationDistribution.txt	crisprme_off per caricare i barplot della popolazione	n
JOB_ID.targets.GUIDE.zip	File finale da far scaricare all'utente, contiene l'elenco dei targets dove, per ogni cluster, è stato scelto uno o più rappresentativi	submit_job.final.sh: prendo il file JOB_ID.samples.annotation.txt e lo divido per ogni guida, poi lo clusterizzo con cluster.dict.py e infine zip del file	crisprme_off come download dei target della ricerca
output.txt	file di supporto per indicare all'utente a che punto è l'analisi	submit_job.final.sh	crisprme_off nella pagina di loading, mostra a che punto è l'analisi	n
JOB_ID.RNA.1.3.GUIDE.txt oppure .zip	File contenente i target, presi da JOB_ID.samples.annotation.txt, che hanno 1RNA bulge e 3 mismatch per la GUIDA selezionata	crisprme_off	crisperme_off nella tabella 'Show targets'	n
summary_single_guide_AMR_GUIDE_3mm.png	Radarchart specifico per sample/pop/superpop	crisprme_off con chiamata a crispritz generate-report	crisprme_off in graphical report	n
log.txt	Log dello stato dell'analisi	submit_job.final.sh	crisprme_off per controllare se un'analisi è finita	n
